key,context,en,ja,zh,
close down note,,"Your deepest apology that Cubego Presale did not meet the expectation in raising fund for development. We decided to suspend the game for improvements. All the purchases before 28th Dec, 08:00 UTC will be refunded by 4th Jan. You will keep all the purchased assets. For more information, check out our blog below.",Cubego Presaleが開発のための資金を調達するという期待に応えられなかったことを深くお詫び申し上げます。 改善のためにゲームを中断することにしました。 UTCの12月28日08:00までに購入したものはすべて1月4日までに返金されます。購入したすべての資産を保持します。 詳しくは、下記のブログをご覧ください。,,
color.overused_error,,"""${type}"" is only available during the presale. You won't be able to create your Cubegon. <a href='/store' target='_blank'>Check the store now</a>.","""${type}""はプレセールでのみ販売される素材です。この素材でキューブゴンを創る事はできません。<br/>公式ショップ<a href='/store' target='_blank'>公式ショップ</a>をチェック！",“$ {type}”仅在预售期间可用。<br/> <a href='/store' target='_blank'>检查商店</a>,
color.overused_error_plastic,,"""${type}"" is only claimable as the reward. Join our <a href='https://discordapp.com/invite/pYD5tss' target='_blank'>Discord</a> to know more.","""${type}"" はキャンペーンプレゼントでのみ増やす事ができます。<a href='https://discordapp.com/invite/pYD5tss' target='_blank'>公式Discordチャンネル</a>に参加して、情報を逃さないようにしましょう！",,
color.overused_warning,,"You are out of ""${type}"".<br/>The exceed amount will be counted to the final cost! ","""${type}"" が足りません。<br/>足りない分は最終コストに加算されます。",您已超出“$ {type}”。<br/>超出的金额将计入最终费用！,
color.plastic_note,,This is your Basic Cubego capacity. Basic Cubegoes are reusable. This capacity will resume after your Cubegon is created.,ベーシックキューブの使用限界値に到達しました。ベーシックキューブは一体に使用できる数量に限りがありますが、違う個体を創る時には全量回復します。,,
combat,,Combat,バトル,战斗,
coming,,Coming,更新予定,将开始,
coming_next,,Coming Next,開発予定,即将开始,
coming_soon,,Coming Soon,準備中,准备中,
coming_soon_presale_note,,"This feature is coming soon!<br/>Meanwhile, please check out the Presale.",準備中の機能です！プレセールのチェックはお済みですか？,,
common,,Common,コモン,普遍,
common cubegoes,,Common Cubegoes,コモンキューブ,,
contract_address,,Contract Address,コントラクトアドレス,거래 주소,联系地址
contracts,,Contracts,コントラクト,,
copied,,Copied,コピーしました,已复制,
copy_layer,,Copy layer,レイヤーを<br>コピー,复制图层,
copyright,,Trade your characters,著作権の保護,版权,
copyright_logic_header,,Cubegon model uniqueness is protected. No replicas are allowed.,コピーを登録させず、オリジナル性を守る,Cubegon模型的独权性已受到保护。不允许复制。,
create_now,,Build Now,今すぐ創る！,立即建造,
create_time,,Create Time,作成日,创造时间,
created_by,,Cubegon By,作者,Cubegon By,
creation,,"Create characters, own copyright",クリエイション,创建,
creation_copyright_logic,,Cubegon Creation & Copyright logic,キューブゴンの創造と著作権,Cubegon创作和版权逻辑,
creation_header,,“Original” Cubegon allows the owner to create model variants,創造されたオリジナルキューブゴンはオーナーが自由に色違いを創る事ができます。,“原始”Cubegon允许所有者创建模型变体,
cubego,,Cubego,キューブゴー,Cubego,
cubego,,Cubego,キューブ,Cubego,
cubego contracts,,Cubego Contracts,キューブのコントラクト,,
cubegoes,,Cubegoes,キューブ,Cubegoes,
cubegon,,Cubegon,キューブゴン,Cubegon,
cubegon,,Cubegon,キューブゴン,Cubegon,
cubegon id,,Cubegon ID,キューブゴンID,,
cubegon name,,Cubegon's Name,キューブゴンの名前,,
cubegon_detail,,Cubegon Detail,キューブゴン詳細,Cubegon细节,
cubegon_energy,,Cubegon’s Energy,エナジー,Cubegon的能量,
cubegon_properties,,Cubegon’s Properties,キューブゴンの詳細,Cubegon的性能,
cubegon_skills,,Cubegon’s Skills,スキル,Cubegon的技能,
cubegon_stats,,Cubegon’s Stats,能力値,Cubegon的指数,
cubegon_tiers,,Cubegon's Tiers,キューブゴンの格,Cubegon's等级,
cubegon_types,,Cubegon’s Types,タイプ,Cubegon的类型,
cubegon.desc,,"Cubegon's Inside & Outside - You decide!<br/><br/>Cubegons are ERC-721 tokens and are stored in your ETH address. They are fully owned by you and can be freely traded between addresses.<br/><br/>Gather Cubego materials, select your desired colors and give shape to your Cubegons. Create any design you wish; the limit is only your own imagination!",キューブゴンの外見＆中味は自由です。<br/><br/>キューブゴンはERC-721トークンであり、あなたのイーサリアムアドレスに保管され、もちろん自由に取引をする事が可能です。<br/><br/>好きなキューブを集め、色を選び、デザインを決めて創ってみましょう！あなたを縛るものはありません！,Cubegon的内部和外部 - 您决定！<br/> <br/> Cubegons是ERC-721令牌并存储在您的ETH地址中。它们完全归您所有并可以在地址之间自由交易。<br/> <br/>收集Cubego材料，选择您想要的颜色，塑造您的Cubegons。创建您想要的任何设计;唯一限制是您自己的想象力！,
cubegons,,Cubegons,キューブゴン,Cubegons,
cubes/pack,,Cubes/Pack,キューブ/パック,Cubego/包,
current energy limit,,Current Energy Limit,エナジーリミット,,
current type,,Current Type,現在のタイプ,现在类型,
data_updated,,Data has been updated,更新されました。,,
days,,days,日,天,
defense,Defense Point,Defense,ディフェンスポイント,,
delete_cubegon,,Dismantle Cubegon,キューブゴンを解体する,,
delete_cubegon_done,,Dismantling Cubegon,,,
delete_cubegon_note,,Your cubegon will be dismantled. The cubegoes will be added back to your inventory!,あなたのキューブゴンを解体します。キューブはインベントリに返されます！,,
deleting_cube,,Dismantling Cubegon,キューブゴン解体中,,
desc.basic,,"Provided to new players in a specific quantity, as a capacity can be used in each Cubegon. The capacity can be further raised through buying Cubego Packs and in-game activities. Basic Cubegoes are not transferrable between addresses.",ゲーム開始時に配布されるキューブ素材です。またゲーム内のキューブパックで購入でき、ゲーム内の報酬として使われる事があります。アドレス間の送・受信はできません。,提供给特定数量的新玩家。 他们可以获得通过购买Cubego包和游戏内的活动。 基本的Cubego不能在用户间转移。,
desc.build_unique_1,,"No one can copy your characters, any of them. Building first give you more freedom to create any character you want.",あなたが創ったキューブゴンは誰もコピー出来ません。そして登録すると同時にそのキューブゴンを自由にカスタマイズする権利も得る事が出来ます。,,
desc.build_unique_2,,"Creating a model also grants you a copyright ownership, making you the only one who can create color variants of the model. This copyright ownership is only given to “Original” Cubegon model, not its variants. Copyright ownership is also transferable as it ties to Original Cubegons.<br/><br/>If you are lucky to have a model that other players like, you can create more variants to sell them in market. Thus, building early is an advantage.",自分だけのオリジナルキューブゴンを創り登録すると、そのキューブゴンの著作権が手に入ります。この著作権はオリジナルキューブゴンに紐付けされており、この著作権を持ったキューブゴンは「オリジナル」と呼ばれます。オリジナルを保有していると色違いや素材違い、更に外観を少し変えたりなどのアレンジ版を作ることが許されています。つまり、魅力的なオリジナルキューブゴンを保有しているとそのアレンジ版を取引して収益を上げることが出来るのです！,,
desc.challenger,,Learn basic and Challenger's battle moves,基本の動きを習得します,学习基本和挑战者的战斗形式,
desc.champion,,Can unlock all battle moves except for God's,ゴッド以外の動きを習得する事ができます,除了神的战斗形式可以解锁所有,
desc.claim_note,,"1000 packages for giving away, first come first served.",,,
desc.claim_note_1,,Each address can only claim once.,,,
desc.claim_note_2,,"Gift pack is available from 11 Dec, 00:00 UTC to 12 Dec, 23:59 UTC.",,,
desc.claim_note_3,,"After claiming, kindly check your Cubegoes at <a href='/inventory'>the inventory</a>.",,,
desc.combat_intro_1,,Challenges make the life of your Cubegons more exciting and that’s the reason for combat. Your Cubegon can join battles to collect rewards and unlock further skills. You can watch Cubegons battle from different angles in a 3D environment.,バトルは自分のキューブゴンとよりエキサイティングな時間を過ごす為に存在します。バトルで勝つと報酬があり、キューブゴンが新たなスキルを獲得する事ができます。,挑战使您的Cubegons的生命更加精彩，这就是战斗的原因。您的Cubegon可以参加战斗以收获奖励并解锁更多的技能。,
desc.combat_intro_2,,"Battles take place in an Arena with varying terrain, ranging from: mountain summits, to deadly jungles and deep waters.",最も基本的なバトルは１対１のものです。３D環境の元、様々な視点からバトルを楽しむ事ができます。,最基本的战斗是在1v1回合制设置中。您可以在3D环境中从不同角度观看Cubegons战斗。,
desc.combat_intro_3,,"Higher-tier Cubegons can unlock higher-class Arenas, enter higher-level Dungeons to get more rewards.",バトルは山々、ジャングルと水源に囲まれたアリーナで行われます。,战斗发生在不同地形的竞技场，从山峰到致命的丛林和深海。,
desc.common,,Are the most popular materials. They are supplied in an unlimited amount and can be purchased after creating Cubegons.,もっとも一般的な素材で、供給量に制限はありません。キューブゴンを創った後、使用した分をまとめて購入する事が出来ます。,是最受欢迎的材料。它们以无限量供应，可在创建Cubegons后购买。,
desc.copyright_logic_header,,Players cannot copy any Cubegon model if they do not own the “Original” Cubegon of that model. New Cubegon shapes from another player will require a minimum of 15% difference in shape from all existing Cubegons to be approved.<br/><br/>Our public smart contracts protect the logic as well as the value of your beautiful Cubegon models.,オリジナルのオーナーでないプレイヤーは同じモデルはもちろん、似ているモデルも登録する事ができません。キューブゴンは他のシェープと比較し15％以上の相違がないと登録ができないようになっています。<br/><br/>あなたの素晴らしい創造性から生まれたキューブゴンを私達のスマートコントラクトが守ります。,如果玩家不拥有该模型的“原始”Cubegon，则不能复制任何Cubegon模型。其他玩家的新Cubegon形状将需要与所有现有的Cubegons相比至少15％的形状差异。<br/> <br/>我们的公开智能合约保护逻辑性和您美丽Cubegon模型的价值。,
desc.creation_copyright_logic,,Every Cubegon is unique and its uniqueness is protected by our smart contracts.,キューブゴンは一つ一つがスマートコントラクトで保護されます。,每个Cubegon都是独一无二的，其独特性受到我们智能合约的保护。,
desc.creation_header,,"Cubegon models, also called shapes, are shown in the way Cubegons are assembled. ",キューブゴンのモデル、その組み立てられた形をこれをシェープと呼びます。,Cubegon模型（也称为形状）以Cubegons组装的方式显示。,
desc.creation_header_2,,"When a new Cubegon model is created, the number one (#1) Cubegon of that model will be badged “Original"". Owning an “Original” Cubegon also means owning the copyright of that Cubegon model.",あるキューブゴンが創られた時、そのキューブゴンは最初のモデルとして登録され、オリジナルの型としてバッジ付きになります。この「オリジナル」キューブゴンを保有している事はすなわち、そのキューブゴンの著作権を保持している事になります。,当创建一个新的Cubegon模型时，那模型的第一（＃1）编号Cubegon将标记为“原始”。拥有“原始”Cubegon也等于拥有这Cubegon模型的版权。,
desc.creation_header_3,,"An “Original” Cubegon owner will have exclusive rights to create material/color variants of that Cubegon model to develop a squad of Cubegons sharing a common model. Despite that, each variant is still unique since no two variants are exactly the same.",オリジナルを保有しているオーナーは色違いや素材違いのキューブゴンを創り、共通のシェープから様々なパターンを創る事ができます。もちろん全く同じものは2つ以上存在することはできません。,“原始”Cubegon的所有者将拥有创建这Cubegon模型的材质/颜色变体的独利，以开发分享共同模型的Cubegons小队。尽管如此，每个变体仍然是独一无二，因为没有两个变体是完全相同的。,
desc.cubego-desc-1,,"Miracles of life are crafted from tiny things, so is Cubego!",キューブも積もれば奇跡となる⁉︎,生活的奇迹是用微小的东西造成的，那就是Cubego！,
desc.cubego-desc-2,,"Cubegoes are inspired by natural materials, from rare and glamorous gems such as diamond and gold to common ones like plastic. Each Cubego material has a disparate set of colors, textures, elements and other properties.<br/><br/>Cubegoes are tokens stored on blockchain (except Basic Cubegoes), as such they are tradable between addresses.",キューブは現実世界にある素材をゲームに再現しました。貴重な鉱物であるダイアモンドや金から身近なプラスチックまで、テクスチャーがそれぞれ違いセットしてある色も、キューブゴンに与える効果も異なります。<br>キューブ一つ一つがブロックチェーン上にあるアセットとなっている為取引、移動が可能です (ベーシックキューブを除く)。,Cubegoes的灵感来自于天然材料，从稀有和迷人的宝石（如钻石和黄金）到普通的宝石（如塑料）。 每个Cubego材质都有不同的颜色，纹理，元素和其他属性。<br/> <br/> Cubegoes存储在区块链上（除了基本Cubegoes），因此它们可以在用户之间进行交换。,
desc.cubegon_energy_1,,"When creating Cubegon, you decide its energy capacity, which is the maximum level of energy it can store. Cubegon requires energy to fight in arena. Once the Cubegon’s energy reduces to zero, it can no longer join combat.",キューブゴンを創る際にエナジーの限界値を決める事ができます。これはキューブゴンが溜める事のできるエナジーの最大値です。このエナジーはアリーナでのバトルに必要となります。エナジーがゼロになるとバトルには参加できなくなってしまいます。,在创建Cubegon时，您可决定它的能量，即能够存储的最多能量。 Cubegon需要能量在竞技场中战斗。一旦Cubegon的能量减少到零，就不能再加入战斗了。,
desc.cubegon_energy_2,,"Cubegon can gain energy in combat, however no more than its energy level. Cubegon recovers one energy for winning a battle and loses one energy for losing.",エナジーはバトルで獲得する事ができますが、上限値を超えることはできません。バトルに勝つとエナジーが１回復し、負けると１減るシステムです。,Cubegon可以在战斗中获得能量，但不超过它的能量级。 Cubegon恢复一能量如赢得一场战斗并失去一能量如果输了。,
desc.cubegon_properties,,"You decide your Cubegons’ properties, which consist of Type, Stats, Tier, Skills and Energy.",キューブゴンの能力にはタイプ、能力値、格、スキル、エナジーがあり、これらを操作する事が可能です。,您决定Cubegons的性能，包括类型，指数，等级，技能和能量。,
desc.cubegon_skills,,A Cubegon’s skills are crucial in combat: each Cubegon type has distinct combat moves. Cubegon can unlock further moves when they progress in game.,キューブゴンのスキルはバトルで使用され、タイプによってバトル時の動きは異なります。またゲームを進めていくと新たな動きを習得する事があります。,Cubegon的技能在战斗中至关重要：每个Cubegon类型都有不同的战斗动作。当他们在游戏中前进时，Cubegon可以解锁进一步的动作。,
desc.cubegon_stats,,"Stats of CubeGon consist of four components: <b>Health, Attack, Defence and Speed</b>.<br/>The distribution of the four stats depends on the materials and color you select.",能力値には4つ：HP、アタック、ディフェンス、スピードがあります。</b>.<br/>これらの能力値は使用したキューブの素材と色に左右されます。,CubeGon的指数包含四个部分：<b>健康，攻击，防御和速度</ b>。四种指数的分布取决于您选择的材料和颜色。,
desc.cubegon_tiers_1,,<b>Tier Strength Requirement:</b> Tier of a Cubegon is determined by total strength of Cubegoes used to create it. The strength requirement for each Cubegon tier is shown below.,<b>強さは格で決まる:</b>キューブゴンの格は創る為に使用されたキューブの強さの合計です。それぞれの格に必要な強さは下の図の通りです。,<b>级别强度要求：</ b>Cubego的级别取决于创建它的Cubegoes总强度。每个Cubegon级别的强度要求如下。,
desc.cubegon_tiers_2,,"Total stats of Cubegon are contingent to its tier. Higher-tier Cubegons have higher total stats, can learn more battle moves and can unlock more Arenas/Dungeons.",能力の合計値は格によって決まります。格が高ければ高いほど、能力の合計値が高くなり、バトルで得られるムーブが多く、アリーナやダンジョンをより多くアンロックできます。,Cubegon的总指数取决于它等级。较高级的Cubegons具有较高的总指数。,
desc.cubegon_types_1,,The dominant type of all Cubegoes used to create a Cubegon determines the type of the Cubegon.,キューブゴンを創る際に使用されたキューブがタイプを決めます。,所有Cubego的优势类型用于创建Cubegon决定了Cubegon的类型。,
desc.cubegon_types_2,,"There are 5 types of CubeGon. Each type is strong against one type, but weak against another.",タイプは５種類あり、それぞれ相性があります。あるタイプに対しては強いですが、ある違うタイプに弱いのです。,CubeGon有5种类型。每种类型对另一种类型强，但对其他几种类型弱。,
desc.dismantle_reassemble_1,,Cubegons can be dismantled to give you back your Cubegoes. Do not worry if you want to improve an existing model or create a completely new character from old ones; simply break your Cubegon models up and start creating again!,キューブゴンは解体してキューブに戻す事ができます。一度創ったキューブゴンを改良して新しいものを創ることは容易です。迷いなく解体して、もう一度創ってみましょう！,Cubegons可以被拆除以恢复您的Cubegoes。如果您想改进现有模型或从旧模型创建一个全新的角色，请不要担心;简单地打破您的Cubegon模型并重新开始创建！,
desc.dismantle_reassemble_2,,"Once an original Cubegon is dismantled, no variants of this model can be produced as the original badges are not transferable.",オリジナルのキューブゴンが解体されてしまった場合、以後そのシェープを使った色違い、素材違いのパターンは創る事ができなくなります。,一旦拆除原始Cubegon，就不能再造此模型的变体，因为原始徽章不可转移。,
desc.diversity,,"Cubegoes, the “raw materials” of various colors, textures and other properties are the core of every character and are inspired by real materials in the physical world",「多様性」：モンスターを創る為のキューブは現実世界にある素材に似せて作られており、それぞれに違った色やテクスチャーが存在します。,Cubegoes，各种颜色，纹理和其他属性的“原材料”，是每个角色的核心，并是受到物理世界中真实材料的启发,
desc.earn_reward_1,,"Cubego does not stop at building characters. What more fun is to bring your own characters to battle, conquer challenges and gain rewards. Here is what you expect to earn from battle:",キューブゴーはキャラクーたを創るだけではありません。あなたのキューブゴンをバトルさせ、下記のような報酬をゲットできるのです。,,
desc.earn_reward_2,,"<b> - Cubego Box:</b> returns you random Cubegoes<br/><br/><b> - EMONT tokens:</b> ""mine” EMONT and spend back to create more characters.<br/><br/><b> - Special items and Cubegons:</b> hunt treasures to upgrade your charactes. You might find some special Cubegons.<br/><br/><b> - Battle moves:</b> gain points to teach your Cubegons new battle moves.",- キューブボックス：キューブがランダムで手に入ります。<br/><br/>- EMONTトークン：EMONTをマイニングし、手に入れることができます！<br/><br/>- スペシャルアイテム＆キューブゴン：お宝アイテム＆珍しいキューブゴンが見つかるかもしれません。<br/><br/>- バトルムーブ：あなたのキューブゴンが新しい動き、ムーブを手に入れ更に強くなります。,,
desc.elite,,Can unlock all battle moves except for God's and Champion's,ゴッド、チャンピオン以外の動きを習得する事ができます,除了神和冠军之外可以解锁所有战斗形式,
desc.epic,,A must-have Cubego to create “Champion” Cubegons. They can only be found in Epic and Ultimate Cubego Packs during the presale.,チャンピオン格のキューブゴンを創る為に必須なキューブです。プレセール期間のみ販売されるアルティメットパック、エピックパックでしか手に入らないキューブです。,一个必须拥有的Cubego来创造“冠军”Cubegons。它们只能在预售期间在Epic和 Cubego 终极包中找到。,
desc.form_note,,Still confused? Check out the full <a href='https://medium.com/cubego/ff5f32516192' target='_blank'>instruction</a>!,より詳しい説明は<a href='https://medium.com/cubego/ff5f32516192' target='_blank'>こちら</a>から！,,
desc.god,,Can unlock all potential battle moves,全ての動きを習得する事ができます。,可以解锁所有潜在的战斗形式,
desc.invite_code,,Get up to 5 EMONT with the invite code,招待コードで５EMONTを手に入れよう,使用邀请码最多可获得5个EMONT,
desc.legendary,,The essential material to create “God” Cubegons - the strongest tier characters. Only an extremely limited quantity will be supplied in some very special Cubegons.,最強であるゴッド格のキューブゴンを作るのに必要なキューブで、供給量は非常に限られごく一部のキューブゴンのみ到達できる格です。,创造“神”Cubegons的基本材料 - 最强大的角色。只会在一些非常特殊的Cubegons中提供非常有限的数量。,
desc.presale_1,,Cubego Presale is an Exclusive event for you to collect Limited Cubegoes from Store.,キューブゴーのプレセールは貴重なキューブを手に入れるこれ以上ないチャンスです！,,
desc.presale_2,,Epic and Rare Cubegoes are sold in Packs and will NOT be available after the Presale. You have chance to create high-tier characters from these limited Cubegoes during the Presale.,現在プレセールで販売されているエピック＆レアキューブは強力なキューブゴンを創るために必要不可欠です。是非この機会にゲットして下さい！,,
desc.rare,,"Though not compulsory, they are important materials to create “Elite” Cubegon. They can only be found in Rare and Ultimate Cubego Packs during the presale.",必須ではありませんがエリート格のキューブゴンを創る時に大事なキューブです。プレセール期間のみ販売されるアルティメットパック、レアパックでしか手に入りません。,虽然不是强制性的，但它们是制作“精英”Cubegon的重要材料。它们只能在预售期间在Rare和 Cubego 终极包中找到。,
desc.sign_in_signature,,Please use your email address to sign at <a href='https://www.myetherwallet.com/signmsg.html' target='_blank'>MyEtherWallet</a>.,メールアドレスを使用し、<a href='https://www.myetherwallet.com/signmsg.html' target='_blank'>MyEtherWallet</a>で署名をしてください。詳しい案内はこちら。,请使用您的邮箱地址在<a href='https://www.myetherwallet.com/signmsg.html' target='_blank'> MyEtherWallet </a>上签名。在这里查找更多的说明。,
desc.strength,,Each Cubego material has its own strength. Using higher-tier Cubegoes will accelerate the strength accumulation of your Cubegon(s) and enable them to climb to the higher tiers more quickly.,キューブの素材はそれぞれ持っているパワーがあり、格の高いキューブをたくさん使用すればその分キューブゴンの強さがアップし、キューブゴンの格を押し上げる事ができるようになります。,每种Cubego材料都有自己的优势。使用更高级别的Cubegoes将加速您的Cubegon的优势积累，并使他们能够更快地爬到更高的级别。,
desc.tiers,,"Cubegoes can be divided into five ‘Tiers’ derived from their scarcity and potential. Their power is determined by a descending order consisting of: <b>Legendary, Epic, Rare, Common and Basic</b>.",キューブゴンには能力値と潜在成長率の範囲で5つの格に分けられます。この格は素材のレア度に左右され、レジェンド、エピック、レア、コモン、ベーシックの順に与える影響が小さくなります。,Cubegoes可以分为五个“级别”，源于它们的罕有性和潜力。他们的力量由下降顺序决定：<b>传奇，英雄，稀有，普遍和基本</ b>。,
desc.tiers_types_cubegoes,,Cubegoes are the key factors of a Cubegon’s power. More precious materials yield a greater chance to create more powerful characters. Some extremely rare Cubegoes maintain amazing power which can develop special abilities for Cubegons.,キューブの素材が何であるかはその強さに大きな関係があります。貴重な素材であればその分能力値が高くなりやすく、更にレアな素材は特別な効果をキューブゴンに与えるものもあります。,Cubegoes是Cubegon力量的关键因素。更珍贵的材料产生更大的机会来创造更强大的角色。一些非常罕见的Cubegoes保持惊人的力量，可以为Cubegons开发特殊能力。,
desc.trade_cubegon_1,,"Both Cubegoes and Cubegons are tokens, stored on the blockchain and are tradable. Own limited Cubegoes today can earn you more benefits after Presale as you can sell them in market.",キューブ、そしてキューブゴンは近日実装予定のマーケットで売買が可能になります。今しか手に入らないキューブを手に入れ、マーケット実装に備えましょう！,,
desc.trade_cubegon_2,,"Cubegons are worth a lot more, as they carry moves and can be crafted with items earned from battle. An inventory abundant in Cubegoes of all materials allows you to play with different character design and color, hence is key to create appealing Cubegons.",豊富なキューブの材質、色によってキューブゴンには無数のキューブゴンが製作可能です。この無限の可能性こそワクワクの源泉なのです。,,
desc.tutorial.color,,"Each material has a set of sub-materials, in different color. You can use any color of a material if you have that material.",キューブはどの材質も複数の色が存在し、その材質を持っているとどの色も選択出来ます。,,
desc.tutorial.estimated_stats,,Your character total stats will fall under the Estimated Stats range. Add more cubes or change material to increase the character' stats.,あなたの創ったキューブゴンは表示されている範囲の中で能力値が決まります。使用するキューブを変えたり、使用する数を変えることで能力値が変動します。,,
desc.tutorial.material,,"There are 12 different materials, categorized into 5 Tiers in descending order: Legendary, Epic, Rare, Common and Basic. Higher-tier material adds more power to your character.",キューブには12の材質があり、5つの格に分ける事ができます。格は強さ順に上から「レジェンダリー」「エピック」「レア」「コモン」「ベーシック」という名前がついており、強いキューブを使えば使う程キューブゴンが強くなります！,,
desc.tutorial.template,,There are some default templates provided to you to start with.<br/>Your saved templates will also be stored here., スタート用にいくつかテンプレートが用意されています。<br/>あなたが保存したテンプレートもここに保存されます。,,
desc.tutorial.tier,,"Cubegon are categorized into 4 tiers in descending order: God, Champion, Elite and Challenger. Higher-tier Cubegons have higher stats and can learn special moves that lower tiers cannot.",キューブゴンは4つの格に分かれます。強さ順に上から：「ゴッド」「チャンピオン」「エリート」「チャレンジャー」となっており、格が高い程能力値が高く、他の格が習得できない特別なムーブを習得できます。,,
desc.tutorial.type,,"Each Cubegon has one elemental type, which will determine which battle moves it can learn.",キューブゴンには必ず一つのタイプが割り当てられ、それによって習得するムーブが変わります。,,
desc.types,,"Each material can have several sub materials which are usually different in color. Each color variant can belong to one or two element types out of a total of five, including:<br><b>Fire, Water, Air, Grass and Earth</b>.",素材の中には更にその中で細かく分類されてあるものもあり、多くは色が異なります。色はキューブゴンのタイプに影響し、使用している色に応じ5つのタイプ：<br><b>火、水、空、草、地</b>に分かれます。,每种材料可具有几种常带不同颜色的副材料。每种颜色变体可以属于总共五种中的一或两种元素类型，包括：<br> <b>火，水，气，草和地</ b>。,
desc.uniqueness,,"Respecting players’ individuality, Cubego protects copyright ownership of the creators. Every Cubegon character is unique and only the owner of the “original” model can create color variants of the same shape",「独自性」：一人一人の創造力を大事にする為、私達はクリエイターの権利を保護する仕組みを作りました。色違いのモンスターはそのモンスターのオーナーしか創ることができません。,尊重玩家的个性，Cubego保护创作者的版权所有权。每个Cubegon角色都是独一无二的，只有“原始”模型的所有者才能创建相同形状的颜色变体,
desc.username,,Username from 6 to 18 characters,6-18以内のユーザーネーム,用户名从6到18个字符,
desc.value_of_synergies,,"Multiplying Cubegoes’ value by creating unique Cubegons with distinct aesthetics, types and abilities. It’s the players who determine the design as well as value of their creations",「シナジー効果」：キューブの組み合わせはデザインだけではなく、キューブコンの強さにも影響します。いかにカッコよく、更に強さを内包する事ができるか、腕の見せどころです。,通过创造具有独特美学，类型和能力的独特Cubegons，使Cubegoes的价值倍增。决定设计和创作价值的是玩家,
