key,en,ja
undo,Undo,元に戻す
redo,Redo,やり直す
copy_layer,Copy layer,レイヤーをコピー
paste_layer,Paste layer,レイヤーを貼り付け
clear_all,Clear all,全て消す
clear_layer,Clear layer,レイヤーを消す
front_view,Front view,前から見る
side_view,Side view,横から見る
bottom_view,Bottom view,下から見る
total,Total,トータル
select_layer,Select layer,レイヤーを選択
game_intro,Game intro,イントロダクション
build_cubegon,Build Cubegon,キューブゴンを創る
created_by,Cubegon By,作者
channels,Channels,チャンネル
back,Back,戻る
check_out,Check Out,作成を完了する
create_time,Create Time,作成日
patent_id,Patent id,保護ID
win,Win,勝利
lose,Lose,敗北
energy,Energy,エナジー
go_to_battle,Go To Battle,バトルへ向かう
top_up_energy,Top Up Energy,エナジーを補充
my_cubegons,My Cubegons,マイキューブゴン
match,Match,試合
win_rate,Win Rate,勝率
rank,Rank,ランキング
quantity,Quantity,数
cubegon_detail,Cubegon Detail,キューブゴン詳細
my_cubegoes,My Cubegoes,マイキューブゴン
total_cubego,Total Cubego,キューブゴン合計
total_stats,Total Stats,勝敗
review_cubegon,Review Cubegon,レビューする
welcome_to_cubego,Welcome To Cubego,Cubegoへようこそ
wallet,Wallet,ウォレット
Email,Email,メール
Username,Username,ユーザー名
Invite Code,Invite Code,招待コード
term_service_policy,Please agree to the Terms of Sale and Privacy Policy,販売規約に同意してください。
register,Register,登録
signup_label,Sign up to discover the Cubego,新規登録してキューブゴーで遊ぶ
desc.invite_code,Get up to 5 EMONT with the invite code,招待コードで５EMONTを手に入れよう
sign_up_label.setting-info,User Setting,セッティング
Your information is updated!,,情報が更新されました。
metamask_is_locked,Your MetaMask is Locked,MetaMaskがロックされています
please_unlock_metamask,Please unlock MetaMask to log in,ログインするにはMetaMaskをアンロックしてください
mobile_app_not_installed,Your mobile wallet has not been installed,モバイルウォレットがインストールされていません
please_install_mobile_app,Please install Coinbase Wallet or Cipher on your mobile to start the game,ゲームを開始するにはCoinbase WalletあるいはCipherをしてインストールください
metamask_not_installed,Metamask has not been installed,Metamaskがインストールされていません
please_install_metamask,Please install Metamask to start the game,ゲームを開始するにはMetamaskをインストールください
manual_sign_in.intro,"It is recommended to log in using Metamask, Mist or Coinbase Wallet. However, you can log in manually by typing your Ether address below.",MetaMask、MistもしくはCoinbase Walletの使用をお薦めしていますが、下記欄にイーサリアムアドレスを直接入力しても遊ぶことができます。
desc.sign_in_signature,Please use your email address to sign at MyEtherWallet. Find more instruction here.,メールアドレスを使用し、MyEtherWalletで署名をしてください。詳しい案内はこちら。
-,,
-,,
err.invalid_username,Username must be from 6 to 18 characters,ユーザー名は6-18文字の範囲内でお願いします。
err.invalid_fee,Fee must be from ${from} to ${to} ${unit},フィーは ${from} から ${to} ${unit}の範囲内で入力して下さい。
err.too_low_catch_power,Your catching power must be at least the current price.,キャッチングパワーは現在価格を下回ってはいけません。
err.fee_mon_cannot_trade,Free Mons at level 1 cannot be traded.,無料のモンスターはレベル１の状態で取引できません。
err.invalid_level,Mons' level must not exceed ${lvl},レベル${lvl}はレベル制限を超えています
err.invalid_duration,Invalid Duration,継続時間が無効です
err.invalid_price,Invalid Price,価格が無効です
err.invalid_name,Invalid Name,名前が無効です
err.empty_name,Please give a name,名前を入力してください
err.empty_mon,Please select your Etheremon,イーサエモンを選択してください。
err.invalid_trainers,Please select exact 3 trainers,トレーナーを3人選択してください
err.empty_trainer_level,Please select trainers's level,トレーナーレベルを選択してください
err.empty_castle_name,Please input the castle's name,城の名前を入力してください
err.invalid_castle_value,Castle's value must be a number,城の値は数字で入力してください
err.invalid_castle_bricks,Castle must have at least ${bricks} bricks.,城には最低でもレンガが${bricks}個必要です。
err.invalid_attackers,You must choose at least 3 attackers,最低でもアタッカーを3人選択してください。
err.not_enough_token,You only have ${amount} ${token} left,${amount} ${token}しか残っていません
err.server_busy,Server is busy,サーバーが混み合っています
err_invalid_receiver_address,Invalid Receiver's Address,受信者のアドレスが無効です
err.castle_mon_level_require,Each of your Mons must not exceed the corresponding attacked ones by ${lv} levels,モンスターは一致する攻撃者より${lv}レベル超えては行けません。
err.invalid_ether_address,Please input a valid Ether address,正しいイーサアドレスを入力してください
err.metamask_not_connected,Metamask/Mist is not connected,Metamask/Mistが接続されていません 
err.metamask_not_installed,Metamask/Mist is not installed,Metamask/Mistがインストールされていません
err.invalid_practice,Please select your Etheremons and 5 castles to attack,イーサエモンと攻撃する城を5つ選択してください
err.invalid_email,"Ops, you typed the wrong email",emailアドレスが間違っています
err.invalid_length,${field} must have from ${from} to ${to} characters,${field}は${from}から${to}文字までの文字列を入力ください
err.agree_tos_pp,Please agree to the Terms of Sale and Privacy Policy,販売規則と個人情報保護に関する方針についてご同意ください
err.not_enough_energy,You don't have enough energy,エネルギーが足りません
err.please_select_castles_to_attack,Please select exactly ${value} castles to attack,攻撃する城を${value}選択してください
err.nothing_to_claim,You have nothing to claim,あなたは主張することは何もない
err.invalid_bid,Invalid Bidding Amount,無効な入札額です
err.smaller_bid,Your bid must be at least the next secure bid.,次の最低入札価格以上で入札ください
err.invalid_singature,Invalid Signature,無効な署名です
err.nothing_to_cash_out,Nothing to cash out,残額が足りません
err.invalid_num_attacks,Invalid number of attacks,無効な攻撃回数です
err.shape_already_registered,Shape is already registered!,型は既に登録されています！
err.model_already_registered,This model is already created!,このモデルは既に作成されています！
review.image_note,Rotate to find your CubeGon's best pose,キューブゴンを回転させ、ポーズを決めて下さい。
color.overused_error,Cube-${type} is only available during the presale. <a href='/store'>Check the store</a>.,
color.overused_warning,You are out of ${type}. The exceed amount will be counted to the final cost! ,
